mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_calls_std,llm_total_latency_ms_mean,llm_total_latency_ms_std,llm_avg_latency_ms_mean,llm_avg_latency_ms_std,crisis_rate,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,leader_index,leader_name,leader_role
centralized_leader_idx4,aggressive,standard,deepseek/deepseek-v4-flash,74.01812278214193,,68.44912881990572,,20.0,,110.0,,21.787974230059096,,108.93987115029547,,120.0,,20.0,,605.3575603110003,,0.95,,22.0,,,,22.0,,20.93987115029548,,100.0,,605353.9849139706,,6053.539849139705,,0.0,0.3392412319054472,,0.424051539881809,,1.0601288497045225,,4,Risk Department,risk_averse
structured_debate,aggressive,standard,deepseek/deepseek-v4-flash,16.62491146081851,,35.29564801792706,,20.0,,156.0,,26.327752552079907,,131.63876276039954,,300.0,,40.0,,805.3737656459998,,0.75,,34.0,,,,8.110252926652299,,21.528509833747247,,100.0,,805369.7591329764,,8053.697591329764,,0.0,10.760157490071704,,10.368222277500355,,26.8897470733477,,,,
llm_centralized,aggressive,standard,deepseek/deepseek-v4-flash,10.20090875944097,,39.25567654869176,,20.0,,165.0,,28.661586748273056,,143.30793374136528,,120.0,,20.0,,1125.5329326630017,,1.0,,33.666666666666664,,,,14.057704988933668,,28.250228752431617,,120.0,,1125527.8702120632,,9379.39891843386,,0.0,7.461497803152168,,7.6323223133813745,,20.942295011066335,,,,
crewai_debate,aggressive,standard,deepseek/deepseek-v4-flash,15.053829577953035,,38.1042204951991,,20.0,,162.0,,28.08727987095316,,140.43639935476577,,220.0,,60.0,,3189.798774395,,0.95,,34.333333333333336,,,,14.918553931553724,,22.51784542321204,,320.0,,3189794.8048320543,,9968.108765100167,,0.0,8.423207474188882,,8.051585696818954,,20.081446068446276,,,,
independent,conservative,standard,deepseek/deepseek-v4-flash,8.538232521690869,,38.876508919980765,,20.0,,169.0,,23.566499237596915,,117.83249618798456,,0.0,,0.0,,704.9740672609987,,0.0,,58.0,,10.0,,20.441631933169965,,19.390864254814613,,100.0,,704970.4910839937,,7049.704910839937,,0.0,17.030661109307193,,17.781824996673212,,48.0,,,,
centralized_leader_idx1,conservative,standard,deepseek/deepseek-v4-flash,73.4789191803801,,67.08061572438464,,20.0,,113.0,,22.36505211298796,,111.8252605649398,,120.0,,20.0,,687.5939862259984,,0.95,,23.0,,23.0,,23.0,,19.82526056493981,,100.0,,687590.1816970364,,6875.901816970364,,0.0,1.0159166192192606,,1.2698957740240757,,3.1747394350601894,,1,Compliance Department,sustainability
centralized_leader_idx2,conservative,standard,deepseek/deepseek-v4-flash,70.03690094059222,,60.602073992050045,,20.0,,125.0,,24.618786495251776,,123.09393247625889,,120.0,,20.0,,631.4564476730011,,0.9,,25.0,,25.0,,25.43188227292152,,22.66205020333738,,100.0,,631452.683155032,,6314.52683155032,,0.0,1.2972450985994812,,1.1769377951588211,,3.3379497966626204,,2,ESG Department,sustainability
centralized_leader_idx4,conservative,standard,deepseek/deepseek-v4-flash,72.23146382759927,,64.1669193006318,,20.0,,119.0,,23.53298285097138,,117.6649142548569,,120.0,,20.0,,615.6631018359985,,0.9,,24.0,,23.5,,24.0,,22.6649142548569,,100.0,,615659.3892189849,,6156.593892189849,,0.0,0.5872274384457922,,0.5817093534489893,,1.3350857451431004,,4,Risk Department,risk_averse
structured_debate,conservative,standard,deepseek/deepseek-v4-flash,14.366238841438143,,40.284447370616455,,20.0,,167.0,,25.56025557240235,,127.80127786201176,,300.0,,40.0,,767.1668104880009,,0.0,,59.0,,14.0,,21.28771029373268,,19.51356756827909,,100.0,,767162.9095089738,,7671.629095089738,,0.0,15.56603364699723,,16.972404686190217,,45.0,,,,
llm_centralized,conservative,standard,deepseek/deepseek-v4-flash,14.983672591582067,,41.3872962837351,,20.0,,163.0,,24.694893991123017,,123.47446995561508,,120.0,,20.0,,1051.5097825369958,,0.9,,39.0,,19.0,,18.209117797157468,,28.265352158457627,,120.0,,1051504.1496709527,,8762.534580591273,,0.0,8.328997497808025,,8.078529042200234,,21.0,,,,
crewai_debate,conservative,standard,deepseek/deepseek-v4-flash,54.1202164306364,,58.16255519606367,,20.0,,140.0,,27.738367398369355,,138.69183699184677,,220.0,,60.0,,2745.438170922993,,1.0,,34.0,,23.5,,37.78996260253015,,19.90187438931662,,320.0,,2745434.151695997,,8579.481724049992,,0.0,7.484188228228328,,6.900445609874261,,17.888088213213525,,,,
independent,free_rider,standard,deepseek/deepseek-v4-flash,4.404852156391922,,43.18211228855117,,9.0,,109.0,,14.963865446281654,,74.81932723140827,,0.0,,0.0,,214.8177056749992,,0.0,,20.5,,-7.0,,5.3193272314082645,,,,45.0,,214815.94468700496,,4773.687659711221,,1.0,16.10890764297468,,14.553067695319028,,42.5,,,,
centralized_leader_idx1,free_rider,standard,deepseek/deepseek-v4-flash,1.8919683934181373,,38.907026937890194,,10.0,,114.0,,14.411413449176724,,72.05706724588362,,60.0,,10.0,,201.47724868899968,,0.3,,22.0,,-11.0,,3.557067245883609,,,,50.0,,201475.42354498,,4029.5084708996,,1.0,17.830869240658622,,16.269348723143036,,46.5,,1,Trading/Opportunity Team,profit
centralized_leader_idx2,free_rider,standard,deepseek/deepseek-v4-flash,70.19231163170375,,60.62610069873642,,20.0,,125.0,,27.396609782112087,,136.98304891056043,,120.0,,20.0,,362.35012021799776,,0.9,,25.0,,25.0,,24.483048910560427,,,,100.0,,362346.3981589812,,3623.463981589812,,0.0,4.165424348620664,,5.055661107912517,,13.016951089439573,,2,Compliance Department,sustainability
centralized_leader_idx4,free_rider,standard,deepseek/deepseek-v4-flash,0.0,,39.55345798274492,,10.0,,117.0,,15.282608145835576,,76.41304072917788,,60.0,,10.0,,244.52191687099548,,0.0,,23.0,,-14.0,,4.413040729177888,,,,50.0,,244520.15038301036,,4890.403007660207,,1.0,20.25391348333154,,18.469891010948512,,54.0,,4,Saboteur Department,free_rider
structured_debate,free_rider,standard,deepseek/deepseek-v4-flash,1.7619371430333397,,34.203985774541266,,18.0,,155.0,,21.181343199762544,,105.90671599881271,,270.0,,36.0,,349.8043112630039,,0.7777777777777778,,29.0,,-3.0,,1.9067159988127145,,,,90.0,,349800.8068010022,,3886.675631122247,,1.0,21.294925440189964,,19.28931863581238,,52.0,,,,
llm_centralized,free_rider,standard,deepseek/deepseek-v4-flash,20.781023927268176,,46.26239768193759,,20.0,,165.0,,33.74258737313029,,168.71293686565144,,120.0,,20.0,,562.2228830840031,,1.0,,32.0,,33.0,,23.712936865651447,,,,120.0,,562218.2304360103,,4685.151920300085,,0.0,7.931860202991537,,7.880258392054327,,24.287063134348553,,,,
crewai_debate,free_rider,standard,deepseek/deepseek-v4-flash,38.91735221414618,,51.19827543656583,,20.0,,154.0,,32.370294452161495,,161.85147226080747,,220.0,,60.0,,2305.0638657659947,,1.0,,34.5,,22.0,,28.85147226080748,,,,320.0,,2302423.532989968,,7195.073540593648,,0.0,7.383764438270804,,6.666747888107918,,20.0,,,,
